value,dimension,domain,parameter,depth,datetime,experiment,treatment,repetition,equipment,person/logger
5957,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V02,2,,
7531,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V03,2,,
7941,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V04,2,,
7524,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V05,2,,
7190,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V01,2,,
6494,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V02,2,,
9547,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V03,2,,
9774,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V04,2,,
9770,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V05,2,,
6549,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V01,2,,
7152,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V02,2,,
10498,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V03,2,,
9614,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V04,2,,
9057,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V05,2,,
6405,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F04|V01,2,,
7464,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F04|V02,2,,
9230,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F04|V03,2,,
8168,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F04|V04,2,,
9187,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F04|V05,2,,
7261,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F05|V01,2,,
7008,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F05|V02,2,,
9871,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F05|V03,2,,
6364,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F05|V04,2,,
8560,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F05|V05,2,,
6024,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V01,3,,
8642,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V02,3,,
8889,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V03,3,,
4465,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V04,3,,
6855,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F01|V05,3,,
5916,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V01,3,,
7162,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V02,3,,
9079,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V03,3,,
9676,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V04,3,,
8582,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F02|V05,3,,
6498,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V01,3,,
6233,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V02,3,,
8325,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V03,3,,
8536,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V04,3,,
9914,kg ha-1,maize,grainyield,0,1991-10-24 12:00,MV|planting_date,T03|F03|V05,3,,
